%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
27245000000,0,26874.0,11.567522174,20.1595876887,-78.5700160228,-136.888783611,-4.81743717439,-8.59206551466,58.3187675881
27246000000,0,26875.0,11.4805053585,20.2840343568,-78.6600160415,122.706499324,-50.5101331372,-8.80352899828,-201.366515366
27247000000,0,26876.0,11.3933752351,20.1241117299,-78.7500160603,-190.332320176,4.23677526054,-8.73073649476,111.582304115
27248000000,0,26877.0,11.3061326637,20.2163678119,-78.840016079,94.1489560194,-45.7435558572,-8.91023514822,-172.988972098
27249000000,0,26878.0,11.2187785053,20.0621944595,-78.9300160977,-164.010018773,-0.585410687904,-8.84341595425,85.0800026748
27250000000,0,26879.0,11.1313136221,20.1434421962,-79.0200161164,80.546365709,-43.5787099403,-9.01212857411,-159.566381825
27251000000,0,26880.0,11.0437388773,20.0058139053,-79.1100161352,-140.322926342,-4.95810239505,-8.96207502803,61.2129102073
27252000000,0,26881.0,10.9560551352,20.1202697952,-79.2000161539,113.741390935,-49.6691897554,-9.16421465994,-192.941407089
27253000000,0,26882.0,10.8682632613,19.9927630334,-79.2900161726,-133.861789865,-6.40068373439,-9.12449977202,54.5717736926
27254000000,0,26883.0,10.7803641221,20.1134806511,-79.3800161913,118.964400428,-50.906981929,-9.33311652901,-198.344416619
27255000000,0,26884.0,10.692358585,19.9592103196,-79.4700162101,-184.797281713,2.20936788554,-9.2668517346,105.327265503
27256000000,0,26885.0,10.6042475187,20.0464492651,-79.5600162288,91.3781318575,-46.3140762895,-9.44220174639,-170.938148086
27257000000,0,26886.0,10.5160317927,19.8970514602,-79.6500162475,-159.215698346,-2.48613627996,-9.38101966757,79.5656820986
27258000000,0,26887.0,10.4277122777,19.974460685,-79.7400162662,76.6911714616,-43.9646028968,-9.54674840734,-156.431187728
27259000000,0,26888.0,10.3392898454,19.8401542699,-79.8300162849,-136.909437071,-6.61989694368,-9.50086442454,57.079420786
27260000000,0,26889.0,10.2507653685,19.9501872277,-79.9200163037,109.312983334,-49.9560632764,-9.69942185927,-189.232999638
